time,high,low,open,volumefrom,volumeto,close
2022-07-15,21185.15,20373.45,20577.38,35888.21,747216252.44,20827.27
2022-07-16,21574.75,20481.02,20827.27,27875.55,586102523.47,21199.01
2022-07-17,21658.47,20752.85,21199.01,25674.37,544609266.04,20792.81
2022-07-18,22749.06,20760.73,20792.81,66744.81,1466428849.49,22447.39
2022-07-19,23790.89,21588.2,22447.39,79216.86,1796378775.92,23399.91
2022-07-20,24276.14,22923.14,23399.91,74279.35,1752951921.32,23222.77
2022-07-21,23419.67,22348.64,23222.77,52462.17,1201004931.31,23153.54
2022-07-22,23749.68,22513.01,23153.54,42569.62,987692728.11,22686.32
2022-07-23,22997.6,21953.76,22686.32,25789.53,577941932.27,22452.14
2022-07-24,23012.74,22270.07,22452.14,22222.43,504031294.93,22585.4
2022-07-25,22660.92,21268.28,22585.4,42928.78,940453686.83,21305.59
